formation_id,assigned_lane,assignment_time,processing_status,source_image_status,preliminary_outcome,final_outcome,blocker,artifact_result_location
cc_cb77ef2ea1a6,lane_b_landmarks,2026-07-29T11:51:38-07:00,completed,source_and_reference_sets_reviewed,candidate_field_only,candidate_field_only,clustered far-edge controls on sloping wooded relief,tmp/overlay-wave-002/lane_b/cc_cb77ef2ea1a6/result.json
cc_8c3b2c48da4a,lane_b_landmarks,2026-07-29T11:51:38-07:00,completed,source_and_reference_sets_reviewed,candidate_field_only,candidate_field_only,mixed-depth scene produced no non-folded projective fit,tmp/overlay-wave-002/lane_b/cc_8c3b2c48da4a/result.json
cc_4f5c587f808a,lane_c_coordinate_size,2026-07-29T11:51:38-07:00,completed,source_and_reference_pixels_reviewed,coordinate_size_geometry_provisional,coordinate_size_geometry_provisional,display-only placement with zero independent ground checkpoints,tmp/overlay-wave-002/lane_c/cc_4f5c587f808a/result.json
cc_cac7fb7209b1,lane_c_coordinate_size,2026-07-29T11:51:38-07:00,completed,source_and_reference_pixels_reviewed,coordinate_size_geometry_provisional,coordinate_size_geometry_provisional,display-only placement with zero independent ground checkpoints,tmp/overlay-wave-002/lane_c/cc_cac7fb7209b1/result.json
cc_3efe58101636,lane_c_coordinate_size,2026-07-29T11:51:38-07:00,completed,source_and_reference_pixels_reviewed,coordinate_size_geometry_provisional,coordinate_size_geometry_provisional,display-only placement with zero independent ground checkpoints,tmp/overlay-wave-002/lane_c/cc_3efe58101636/result.json
cc_c9aaf7cc3d3a,lane_c_coordinate_size,2026-07-29T11:51:38-07:00,completed,source_and_reference_pixels_reviewed,coordinate_size_geometry_provisional,coordinate_size_geometry_provisional,display-only placement with zero independent ground checkpoints,tmp/overlay-wave-002/lane_c/cc_c9aaf7cc3d3a/result.json
cc_fffbf1ce3c4b,lane_a_metadata,2026-07-29T14:32:37-07:00,completed,metadata_inspected_hash_verified,candidate_field_only,candidate_field_only,publisher targets conflict by 197.306 m inside the same field,tmp/overlay-wave-003/lane_a/cc_fffbf1ce3c4b/result.json
cc_a766e0a73ba1,lane_a_metadata,2026-07-29T14:32:37-07:00,completed,cataloged_unacquired,candidate_field_only,candidate_field_only,no acquired original-frame and current-reference field-orientation crosswalk,tmp/overlay-wave-003/lane_a/cc_a766e0a73ba1/result.json
cc_f30c1e8ffd2f,lane_a_metadata,2026-07-29T14:32:37-07:00,completed,metadata_inspected_hash_verified,candidate_field_only,candidate_field_only,publisher grid reference and linked map target conflict by 1025.413 m,tmp/overlay-wave-003/lane_a/cc_f30c1e8ffd2f/result.json
cc_ff7c7874a0a5,lane_a_metadata,2026-07-29T14:32:37-07:00,completed,source_and_reference_pixels_reviewed,coordinate_size_geometry_provisional,coordinate_size_geometry_provisional,display-only original-frame placement with zero independent ground checkpoints,tmp/overlay-wave-003/lane_a/cc_ff7c7874a0a5/result.json
cc_8adfc159a7b9,lane_b_landmarks,2026-07-29T14:32:37-07:00,completed,source_and_reference_pixels_reviewed,coordinate_size_geometry_provisional,coordinate_size_geometry_provisional,derived crop rejected and geometry refit on original catalog DJI_0492; zero independent checkpoints,tmp/overlay-wave-003/lane_b/cc_8adfc159a7b9/result.json
cc_35bc1f4dd411,lane_b_landmarks,2026-07-29T14:32:37-07:00,completed,source_and_reference_pixels_reviewed,candidate_field_only,candidate_field_only,published diameter conflict and no distributed persistent controls,tmp/overlay-wave-003/lane_b/cc_35bc1f4dd411/result.json
cc_3566d569dde0,lane_b_landmarks,2026-07-29T14:32:37-07:00,completed,source_and_reference_pixels_reviewed,coordinate_size_geometry_provisional,coordinate_size_geometry_provisional,false context-frame roles removed; original DJI_0002 display placement has zero independent checkpoints,tmp/overlay-wave-003/lane_b/cc_3566d569dde0/result.json
cc_e04260cea9e6,lane_b_landmarks,2026-07-29T14:32:37-07:00,completed,source_and_reference_pixels_reviewed,candidate_field_only,candidate_field_only,published diameter conflict and no distributed persistent controls,tmp/overlay-wave-003/lane_b/cc_e04260cea9e6/result.json
cc_564508c2d8a6,lane_c_coordinate_size,2026-07-29T14:32:37-07:00,completed,source_and_reference_pixels_reviewed,coordinate_size_geometry_provisional,coordinate_size_geometry_provisional,38.013 m target separation and 180 degree directed-yaw ambiguity retained in uncertainty; symmetric display footprint only,tmp/overlay-wave-003/lane_c/cc_564508c2d8a6/result.json
cc_ee71c9475bd1,lane_c_coordinate_size,2026-07-29T14:32:37-07:00,completed,source_and_reference_pixels_reviewed,coordinate_size_geometry_provisional,coordinate_size_geometry_provisional,clipped lower terminal explicitly disclosed; original-frame display placement has zero independent checkpoints,tmp/overlay-wave-003/lane_c/cc_ee71c9475bd1/result.json
cc_c90d17acd2af,lane_c_coordinate_size,2026-07-29T14:32:37-07:00,completed,source_and_reference_pixels_reviewed,candidate_field_only,candidate_field_only,no event-specific scale and no full near-nadir frame,tmp/overlay-wave-003/lane_c/cc_c90d17acd2af/result.json
cc_3026040dd61b,lane_c_coordinate_size,2026-07-29T14:32:37-07:00,completed,source_and_reference_pixels_reviewed,coordinate_size_geometry_provisional,candidate_field_only,camera GPS and publisher target conflict not reconciled by the retained pose or crop window,tmp/overlay-wave-003/lane_c/cc_3026040dd61b/result.json
cc_b3b0718cdb6c,lane_a_metadata,2026-07-29T16:55:16-07:00,completed,source_and_reference_pixels_reviewed_hash_verified,coordinate_size_geometry_provisional,coordinate_size_geometry_provisional,,tmp/overlay-wave-004/lane_a/cc_b3b0718cdb6c/result.json
cc_d348038b1262,lane_a_metadata,2026-07-29T16:55:16-07:00,completed,source_report_only_no_pixels,candidate_field_only,unresolved,publisher pointer was not visually cross-walked to a unique field,tmp/overlay-wave-004/lane_a/cc_d348038b1262/result.json
cc_f5c282a9d9d7,lane_a_metadata,2026-07-29T16:55:16-07:00,completed,source_and_reference_pixels_reviewed_hash_verified,candidate_field_only,unresolved,publisher numeric pointer and printed grid label differ by about 581 m,tmp/overlay-wave-004/lane_a/cc_f5c282a9d9d7/result.json
cc_3f3c81c35f60,lane_a_metadata,2026-07-29T16:55:16-07:00,completed,source_and_reference_pixels_reviewed_hash_verified,candidate_field_only,candidate_field_only,unique field retained but no defensible metric scale supports a footprint,tmp/overlay-wave-004/lane_a/cc_3f3c81c35f60/result.json
cc_b670486b7829,lane_b_landmarks,2026-07-29T16:55:16-07:00,completed,source_and_reference_pixels_reviewed_hash_verified,candidate_field_only,unresolved,venue is secure but the historical formation-bearing field is not unique,tmp/overlay-wave-004/lane_b/cc_b670486b7829/result.json
cc_6bc118741f7e,lane_b_landmarks,2026-07-29T16:55:16-07:00,completed,source_and_reference_pixels_reviewed_hash_verified,candidate_field_only,unresolved,bounded terrain review did not identify a unique field and trial fit was degenerate,tmp/overlay-wave-004/lane_b/cc_6bc118741f7e/result.json
cc_fca804fc7fdd,lane_b_landmarks,2026-07-29T16:55:16-07:00,completed,source_and_reference_pixels_reviewed_hash_verified,coordinate_size_geometry_provisional,coordinate_size_geometry_provisional,,tmp/overlay-wave-004/lane_b/cc_fca804fc7fdd/result.json
cc_5ad92f6c8137,lane_b_landmarks,2026-07-29T16:55:16-07:00,completed,source_and_reference_pixels_reviewed_hash_verified,coordinate_size_geometry_provisional,coordinate_size_geometry_provisional,,tmp/overlay-wave-004/lane_b/cc_5ad92f6c8137/result.json
cc_5a8d44d98915,lane_c_coordinate_size,2026-07-29T16:55:16-07:00,completed,source_and_reference_pixels_reviewed_hash_verified,coordinate_size_geometry_provisional,coordinate_size_geometry_provisional,,tmp/overlay-wave-004/lane_c/cc_5a8d44d98915/result.json
cc_a0b87912ba00,lane_c_coordinate_size,2026-07-29T16:55:16-07:00,completed,source_and_reference_pixels_reviewed_hash_verified,coordinate_size_geometry_provisional,coordinate_size_geometry_provisional,,tmp/overlay-wave-004/lane_c/cc_a0b87912ba00/result.json
cc_a924832e6d3c,lane_c_coordinate_size,2026-07-29T16:55:16-07:00,completed,source_and_reference_pixels_reviewed_hash_verified,coordinate_size_geometry_provisional,coordinate_size_geometry_provisional,,tmp/overlay-wave-004/lane_c/cc_a924832e6d3c/result.json
cc_743e3bd229e3,lane_c_coordinate_size,2026-07-29T16:55:16-07:00,completed,source_and_reference_pixels_reviewed_hash_verified,coordinate_size_geometry_provisional,coordinate_size_geometry_provisional,,tmp/overlay-wave-004/lane_c/cc_743e3bd229e3/result.json
cc_6b40658e7a2e,lane_a_metadata,2026-07-29T20:22:17-07:00,completed,source_report_and_secondary_targets_reviewed_no_pixels_preserved,unresolved,unresolved,two publisher targets differ by about 124 m and no visual crosswalk resolves a unique field,tmp/overlay-wave-005/lane_a/cc_6b40658e7a2e/result.json
cc_86f3c35cfc57,lane_a_metadata,2026-07-29T20:22:17-07:00,completed,source_report_and_secondary_targets_reviewed_no_pixels_preserved,candidate_field_only,candidate_field_only,candidate field retained but the two targets differ by about 66 m and no directed source-frame orientation survives,tmp/overlay-wave-005/lane_a/cc_86f3c35cfc57/result.json
cc_8b083004c965,lane_a_metadata,2026-07-29T20:22:17-07:00,completed,source_report_and_secondary_targets_reviewed_no_pixels_preserved,candidate_field_only,candidate_field_only,candidate field retained but the two targets differ by about 42 m and no directed source-frame orientation survives,tmp/overlay-wave-005/lane_a/cc_8b083004c965/result.json
cc_3a709a5ad15a,lane_a_metadata,2026-07-29T20:22:17-07:00,completed,source_report_and_secondary_targets_reviewed_no_pixels_preserved,candidate_field_only,candidate_field_only,candidate field retained but the two targets differ by about 17 m and no independent control resolves the center,tmp/overlay-wave-005/lane_a/cc_3a709a5ad15a/result.json
cc_136c5cb78f3f,lane_b_landmarks,2026-07-29T20:22:17-07:00,completed,source_and_reference_pixels_reviewed_hash_verified,candidate_field_only,candidate_field_only,unique Yarnbury Castle field retained but no documented size or stable distributed controls support a footprint,tmp/overlay-wave-005/lane_b/cc_136c5cb78f3f/result.json
cc_e018e8685c50,lane_b_landmarks,2026-07-29T20:22:17-07:00,completed,source_and_reference_pixels_reviewed_hash_verified,coordinate_size_geometry_provisional,coordinate_size_geometry_provisional,,tmp/overlay-wave-005/lane_b/cc_e018e8685c50/result.json
cc_2d6aa1adc5ee,lane_b_landmarks,2026-07-29T20:22:17-07:00,completed,source_and_reference_pixels_reviewed_hash_verified,coordinate_size_geometry_provisional,coordinate_size_geometry_provisional,,tmp/overlay-wave-005/lane_b/cc_2d6aa1adc5ee/result.json
cc_459260b91734,lane_b_landmarks,2026-07-29T20:22:17-07:00,completed,source_and_reference_pixels_reviewed_hash_verified,candidate_field_only,candidate_field_only,unique Sutton Hall field retained but no documented size or stable distributed controls support a footprint,tmp/overlay-wave-005/lane_b/cc_459260b91734/result.json
cc_175208ac7d3f,lane_c_coordinate_size,2026-07-29T20:22:17-07:00,completed,source_and_reference_pixels_reviewed_hash_verified,candidate_field_only,candidate_field_only,publisher and Connector targets differ by 85.2 m and road-side context does not uniquely resolve center and orientation,tmp/overlay-wave-005/lane_c/cc_175208ac7d3f/result.json
cc_5c145606dd1c,lane_c_coordinate_size,2026-07-29T20:22:17-07:00,completed,source_and_reference_pixels_reviewed_hash_verified,candidate_field_only,candidate_field_only,unique field and size retained but the source frame has an unresolved 180-degree directional ambiguity,tmp/overlay-wave-005/lane_c/cc_5c145606dd1c/result.json
cc_f8807dac7eef,lane_c_coordinate_size,2026-07-29T20:22:17-07:00,completed,source_and_reference_pixels_reviewed_hash_verified,candidate_field_only,candidate_field_only,unique field and approximate size retained but no defensible directed orientation supports a footprint,tmp/overlay-wave-005/lane_c/cc_f8807dac7eef/result.json
cc_ccc61e24b8c8,lane_c_coordinate_size,2026-07-29T20:22:17-07:00,completed,source_and_reference_pixels_reviewed_hash_verified,candidate_field_only,candidate_field_only,landscape suggests the reported field but the Connector point lies in woodland and no exact center is reproducible,tmp/overlay-wave-005/lane_c/cc_ccc61e24b8c8/result.json
