assertion_id,source_name,source_url,source_record_url,retrieved_at,source_page,source_slot,year,month,day,date_iso,date_precision,date_qualifier,place,region,country,country_code,county,crop,size_text,classification,thumbnail_url,notes,index_kinds,index_urls,index_labels,index_occurrence_count,record_url_aliases,detail_http_status,detail_sha256,detail_cache_path,detail_title,latitude,longitude,has_actual_coordinate_pair,coordinate_method,coordinate_uncertainty,coordinate_uncertainty_km,coordinate_confidence,coordinate_source_url,coordinate_evidence,coordinate_context,orientation_evidence,rights_evidence,image_count,image_urls,map_diagram_urls,expansion_source_id,source_listing_text,alternate_place,canonical_match_status,matched_baseline_assertion_id,rights_scope,parser_version
a_896f23a17fd729,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,1,11,1883,,,1883,year,,Oskaloosa,Iowa,United States,US,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_503ead0ca6a97f,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,1,12,1890,,,1890,year,,Thurso,Highlands,Scotland,GB,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_a2de847aa14025,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,1,13,1904,,,1904,year,,Tilshead,Wiltshire,England,GB,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_0db4f246095de8,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,1,14,1910,10,,1910-10,month,,Fencott,Oxfordshire,England,GB,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_b3f032fb437e4d,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,1,15,1914,,,1914,year,,Maiden Bradley,Buckinghamshire,England,GB,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_c5c961fc7cc56c,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,1,16,1918,6,,1918-06,month,,Bilsington,Kent,England,GB,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_cd61d6b94a7a31,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,1,17,1920,6,3,1920-06-03,day,,Mount Pleasant,Iowa,United States,US,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_8b0e3241be0579,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,1,18,1920,,,1920,year,,Kius,Schleswig-Holstein,Germany,DE,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_791b248ffbfa66,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,1,19,1920,,,1920,year,,Kius,Schleswig-Holstein,Germany,DE,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_1749ba7e3a295b,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,1,20,1922,,,1922,year,,Chilcomb,Hampshire,England,GB,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_a3fc41aae60ad3,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,2,1,1924,,,1924,year,,Devizes,Wiltshire,England,GB,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_f1e6a56e8d2aa1,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,2,2,1925,,,1925,year,,Leshore,Alberta,Canada,CA,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_da3b72d6596e39,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,2,3,1926,,,1926,year,,Tisaren,Örebro län,Sweden,SE,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_6f101ad8ae6992,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,2,4,1927,7,28,1927-07-28,day,,Chanctonbury,Kent,England,GB,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_ee03cc18e2aaee,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,2,5,1927,,,1927,year,,Fernvale,Victoria,Australia,AU,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_66dd6716021f99,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,2,6,1930,,,1930,year,,Burghwallis,South Yorkshire,England,GB,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_ae3a5cc67e88f6,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,2,7,1930,,,1930,year,,Donegal,Donegal,Ireland,IE,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_a9ca7a5a880ace,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,2,8,1930,,,1930,year,,Westlands,Yorkshire,England,GB,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_b90779a79e74c6,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,2,9,1932,,,1932,year,,Chichester,West Sussex,England,GB,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_2c4199cf7c1ca2,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,2,10,1932,,,1932,year,,Manchester,New Hampshire,United States,US,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_3493940c5184ab,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,2,11,1933,,,1933,year,,,Noord-Brabant,Netherlands,NL,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_aab57dfea8dfd5,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,2,12,1934,7,,1934-07,qualified,late,Great Eversden,Cambridgeshire,England,GB,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_2ff6df8856d592,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,2,13,1935,,,1935,year,,Helions Bumpstead,Essex,England,GB,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_18922b91829b1a,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,2,14,1936,,,1936,year,,Aberystwyth,Dyfed,Wales,GB,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_a2dc0600a7be29,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,2,15,1936,,,1936,year,,Whiteparish,Wiltshire,England,GB,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_1e1546b80ea4fe,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,2,16,1937,,,1937,year,,Helions Bumpstead,Essex,England,GB,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_c73bd14770cf78,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,2,17,1938,,,1938,year,,Overboleare,Brabant,Belgium,BE,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_f4a770a8938824,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,2,18,1939,,,1939,year,,Kilmacanogue,Wicklow,Ireland,IE,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_8b80acfd8090fd,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,2,19,1940,,,1940,year,,Abbergavenny,Gwent,Wales,GB,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_2946f002120ad1,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,2,20,1940,,,1940,year,,Earl Shilton,Leicestershire,England,GB,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_b58f03d822223a,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,3,1,1940,,,1940,year,,Elton,Gwent,England,GB,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_10b908b7e76feb,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,3,2,1940,,,1940,year,,Kingham,Oxfordshire,England,GB,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_2c414cc9b327e8,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,3,3,1940,,,1940,year,,Mill End,Hertfordshire,England,GB,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_da7c21eb2fb211,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,3,4,1941,8,,1941-08,qualified,late,Llanerch-Y-Medd,Isle of Anglesey,Wales,GB,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_cd66cdb5734c59,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,3,5,1941,9,,1941-09,qualified,late,Landis,Saskatchewan,Canada,CA,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_212d4ede22b0bd,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,3,6,1941,,,1941,year,,Middletown,Ohio,United States,US,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_8eac995e29974b,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,3,7,1943,12,,1943-12,month,,Oslo Fjord,Østfold,Norway,NO,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_71911c0b011348,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,3,8,1943,7,,1943-07,month,,Flyde,Lancashire,England,GB,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_14c3d3d73d2288,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,3,9,1943,,,1943,year,,Tangmere,West Sussex,England,GB,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_bd65c5aa3027aa,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,3,10,1945,,,1945,year,,Chilcomb,Hampshire,England,GB,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_97b3517db3ad72,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,3,11,1945,,,1945,year,,Sacjawea,Washington,United States,US,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_06758e61c729ad,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,3,12,1946,8,,1946-08,month,,Ivinghoe Aston,Buckinghamshire,England,GB,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_9e5130ebc75f26,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,3,13,1946,5,,1946-05,month,,Angelholm,Skåne län,Sweden,SE,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_7befe4503794f2,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,3,14,1946,,,1946,year,,Cheriton,Hampshire,England,GB,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_8a8a49a739007d,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,3,15,1946,,,1946,year,,Wellspang,Schleswig-Holstein,Germany,DE,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_0305d7b06234af,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,3,16,1946,,,1946,year,,Whiteparish,Wiltshire,England,GB,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_9e88ff39b6dbd6,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,3,17,1947,4,,1947-04,month,,,Lincolnshire,England,GB,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_934e6204b0a0a7,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,3,18,1947,6,,1947-06,month,,Pilling,Lancashire,England,GB,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_7102abce26c37f,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,3,19,1947,,,1947,year,,Grödersby,Schleswig-Holstein,Germany,DE,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_bb595e23173387,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,3,20,1948,,,1948,year,,,,Puerto Rico,,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_a1920cf3d8c46e,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,4,1,1949,6,,1949-06,month,,Pilling,Lancashire,England,GB,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_a5195999a6ea8e,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,4,2,1949,,,1949,year,,Cilycwm,Carmarthenshire,Wales,GB,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_7b78764b50e7f4,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,4,3,1949,,,1949,year,,Natal,KwaZulu-Natal,South Africa,ZA,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_18190dcc4c1f74,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,4,4,1949,,,1949,year,,,Hampshire,England,GB,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_fd57f960fe019f,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,4,5,1950,8,,1950-08,qualified,late,Stange,Hedmark,Norway,NO,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_591bdb02b94bb2,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,4,6,1950,7,,1950-07,month,,Haslemere,Surrey,England,GB,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_bd582f8031051f,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,4,7,1950,9,,1950-09,qualified,early,Redvers,Saskatchewan,Canada,CA,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_7db298c12fc6b1,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,4,8,1950,,,1950,year,,Bath,Avon,England,GB,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_36aad3004314e0,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,4,9,1950,,,1950,year,,Dorrigo,New South Wales,Australia,AU,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_bb54e4ab144ab5,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,4,10,1950,,,1950,year,,Shaftesbury,Dorset,England,GB,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_08af5c397cf94f,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,4,11,1950,,,1950,year,,,,Belgium,BE,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_f518e89ca4d073,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,4,12,1950,,,1950,year,,,,Netherlands,NL,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_31d298b4bbfe55,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,4,13,1951,,,1951,year,,Headbourne Worthy,Hampshire,England,GB,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_f07a5f345b1998,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,4,14,1952,8,19,1952-08-19,day,,West Palm Beach,Florida,United States,US,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_717353e620fdd2,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,4,15,1952,8,28,1952-08-28,day,,Pittsburg,California,United States,US,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_a9ff7aaf999cfb,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,4,16,1952,9,12,1952-09-12,day,,Flatwood,Missouri,United States,US,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_21931e9e132f59,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,4,17,1952,,,1952,year,,Lindau,Schleswig-Holstein,Germany,DE,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_cddf04758529a9,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,4,18,1952,,,1952,year,,Lumberton,North Carolina,United States,US,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_25926ae2c8fd64,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,4,19,1952,,,1952,year,,Quarley,Hampshire,England,GB,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_8906e5ca50cf7a,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,4,20,1954,5,20,1954-05-20,day,,Redlynch,Somerset,England,GB,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_e73ac21e868e4b,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,5,1,1954,6,21,1954-06-21,day,,Ridgeway,Ontario,Canada,CA,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_801f7a663df041,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,5,2,1954,9,26,1954-09-26,day,,Chabeuil,Drôme,France,FR,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_57b109eb086f00,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,5,3,1954,9,27,1954-09-27,day,,Premanon,Franche-Comté,France,FR,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_2ce3b4c1fa0c95,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,5,4,1954,10,1,1954-10-01,day,,Ressons-sur-Matz,Picardie,France,FR,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_ea118b574c7abf,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,5,5,1954,10,2,1954-10-02,day,,Saint-Souplet,Nord,France,FR,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_fc4d09a11cdae6,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,5,6,1954,10,3,1954-10-03,day,,Ronsenac,Limousin,France,FR,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_5c74471ddf8aaf,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,5,7,1954,10,8,1954-10-08,day,,Hemmingford,Quebec,Canada,CA,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_baa5cb3e71e0d2,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,5,8,1954,10,12,1954-10-12,day,,Chabeuil,Drôme,France,FR,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_b164532c1114ba,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,5,9,1954,10,12,1954-10-12,day,,La Croix Daurade,Pays de la Loire,France,FR,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_c6f9081f7130f5,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,5,10,1954,10,27,1954-10-27,day,,Boston Creek,Ontario,Canada,CA,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_ee6190034ee041,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,5,11,1954,11,5,1954-11-05,day,,La Roche-en-Brenil,Bourgogne,France,FR,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_f9ba89d530b472,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,5,12,1954,,,1954,year,,Headbourne Worthy,Hampshire,England,GB,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_79403d2d2c2d88,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,5,13,1954,,,1954,year,,Odedi,Ekiti,Nigeria,,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_1536d3e62195b7,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,5,14,1954,,,1954,year,,Vivian,Manitoba,Canada,CA,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_b5ceaf9cb5e738,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,5,15,1954,,,1954,year,,,,Mexico,MX,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_a3c0119d319f2e,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,5,16,1954,,,1954,year,,,,United States,US,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_f3094cdfa11050,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,5,17,1955,,,1955,year,,Epsom,Surrey,England,GB,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_c63feb36bfc709,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,5,18,1955,,,1955,year,,Warminster,Wiltshire,England,GB,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_52d2688b006350,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,5,19,1956,6,15,1956-06-15,day,,Goomalling,Western Australia,Australia,AU,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_bc805056a4b9fe,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,5,20,1956,,,1956,year,,Stover,South Carolina,United States,US,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_e0224a727d2615,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,6,1,1956,,,1956,year,,Warminster,Wiltshire,England,GB,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_6fc923ce0033ca,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,6,2,1957,6,,1957-06,month,,Meopham,Kent,England,GB,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_cc4c7faf9a01fc,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,6,3,1957,9,19,1957-09-19,day,,Point Pleasant,New Jersey,United States,US,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_e54168915dff1b,Crop Circle Center PDF catalog,https://www.cropcirclecenter.com/,,2026-07-20,6,4,1957,10,24,1957-10-24,day,,South Lee,Massachusetts,United States,US,,,,unreviewed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
