formation_id,assertion_ids,event_date,place,region,country,source_report_urls,source_image_urls,source_image_count,current_location_role,current_latitude,current_longitude,current_coordinate_uncertainty_m,source_coordinate_availability,publisher_map_target_availability,named_geographic_clues,identifiable_persistent_landmarks,source_image_dimensions,display_rights,publication_rights,straight_component_likelihood,priority_score,processing_status,blocker_or_rejection_reason,selected_overlay_id,registration_classification,review_date
cc_d77797cdea69,iccra_320fdd2524fc3e1d,2006-07-22,Sandyville,Ohio,United States,https://iccra.org/bystate/Ohio/ICCRA_Ohio.htm; https://www.cropcirclearchives.co.uk/archives/inter2006/northamerica/northamerica2006.html,https://www.cropcirclearchives.co.uk/archives/inter2006/northamerica/Crop-Circles-001.jpg; https://www.cropcirclearchives.co.uk/archives/inter2006/northamerica/Crop-Circles-002.jpg; https://www.cropcirclearchives.co.uk/archives/inter2006/northamerica/Crop-Circles-003.jpg; https://www.cropcirclearchives.co.uk/archives/inter2006/northamerica/Crop-Circles-006.jpg; https://www.cropcirclearchives.co.uk/archives/inter2006/northamerica/Crop-Circles-007.jpg; https://www.cropcirclearchives.co.uk/archives/inter2006/northamerica/Sandyville%20%20OH-7_22_06.jpg,6,locality_reference,40.64034,-81.37234,5000.0,no,no,Sandyville; Tuscarawas County; Ohio; Stark County,roads; field boundaries; tree lines where visible,500x375; 296x197,link_only_rights_gated,not_cleared_for_redistribution,unknown,6033,source_image_acquired,,,,2026-07-22
cc_7337f014661c,iccra_2426a774b4821032,2003-06-08,Knobel,Arkansas,United States,"https://iccra.org/bystate/Arkansas/ICCRA%20-%20AR%20-%20Knobel,%20Clay%20County%20(June%208,%202003).html; https://www.cropcirclearchives.co.uk/archives/inter2003/northamerica/northamerica2003.html",https://www.cropcirclearchives.co.uk/archives/inter2003/northamerica/Knobel2003a.jpg; https://iccra.org/bystate/Arkansas/images/knobel2003.jpg,2,unresolved,,,,no,no,Knobel; Clay County; Arkansas,,500x455; 432x324,source_hosted_on_explicit_user_action,not_cleared_for_redistribution,high,6026,source_image_acquired,,,,2026-07-22
cc_74854ad00686,iccra_c1872990e562be20,2006-08-17,Geneseo,Illinois,United States,https://iccra.org/bystate/Illinois/ICCRA_IL.htm; https://www.cropcirclearchives.co.uk/archives/inter2006/northamerica/northamerica2006.html,https://www.cropcirclearchives.co.uk/archives/inter2006/northamerica/DSC00423.jpg; https://www.cropcirclearchives.co.uk/archives/inter2006/northamerica/Geneseo--IL-(8_16_06.jpg; https://www.cropcirclearchives.co.uk/archives/inter2006/northamerica/Geneseo--IL-farmer-Jim-Stah.jpg,3,locality_reference,41.44809,-90.15428,5000.0,no,no,Geneseo; Henry County; Illinois; Geneseo soybean field; farmer Jim Stah,field boundaries; roads; farm buildings where visible,500x375; 409x240; 409x273,link_only_rights_gated,not_cleared_for_redistribution,unknown,6024,source_image_acquired,,,,2026-07-22
cc_c3c841d2f230,iccra_1aed3a656ba57fd7,2005-11-30,Port Arthur / Sabine Pass,Texas,United States,"https://iccra.org/bystate/Texas/ICCRA%20-%20TX%20-%20Sabine%20Pass,%20Jefferson%20County%20(November%2030,%202005).html; https://www.cropcirclearchives.co.uk/archives/inter2005/northamerica/northamerica2005.html",https://www.cropcirclearchives.co.uk/archives/inter2005/northamerica/Pt.-Arthur-11.jpg; https://iccra.org/bystate/Texas/images/sabinepass2005a.jpg; https://iccra.org/bystate/Texas/images/sabinepass2005b.jpg,3,locality_reference,29.73355,-93.89433,5000.0,no,no,Port Arthur / Sabine Pass; Jefferson County; Texas; highway between Port Arthur and Sabine Pass; low wet field,highway; wire fence; drainage pattern,500x333; 300x203,source_hosted_on_explicit_user_action,not_cleared_for_redistribution,unknown,6024,source_image_acquired,,,,2026-07-22
cc_c8e2401c7fbf,iccra_718acbe82c9ea0ec,2004-06-27,Spanish Fork,Utah,United States,"https://iccra.org/bystate/Utah/ICCRA%20-%20UT%20-%20Spanish%20Fork,%20Utah%20County%20(June%2027,%202004).html; https://www.cropcirclearchives.co.uk/archives/inter2004/northamerica/northamerica2004.html",https://www.cropcirclearchives.co.uk/archives/inter2004/northamerica/06_28_04_crop_circle.sized.jpg; https://iccra.org/bystate/Utah/images/spanishfork2004.jpg,2,locality_reference,40.11496,-111.65492,5000.0,no,no,Spanish Fork; Utah County; Utah; Spanish Fork barley field; landowner property,field boundaries; roads; buildings visible in aerial frame,500x330; 274x267,source_hosted_on_explicit_user_action,not_cleared_for_redistribution,unknown,6021,source_image_acquired,,,,2026-07-22
cc_d47dd2c50510,a_bba50b97af5fb1; iccra_1a3503da7ed13f38,2004-07-03,Eagle Grove,Iowa,United States,"https://iccra.org/bystate/Iowa/ICCRA%20-%20Iowa%20-%20Eagle%20Grove,%20Humboldt%20County%20(July%203,%202004).html; https://www.cropcirclecenter.com/; https://www.cropcirclearchives.co.uk/archives/inter2004/northamerica/northamerica2004.html",https://www.cropcirclearchives.co.uk/archives/inter2004/northamerica/IowaOne.jpg; https://iccra.org/bystate/Iowa/images/eaglegrove2004a.jpg; https://iccra.org/bystate/Iowa/images/eaglegrove2004b.jpg,3,locality_reference,42.66414,-93.90439,5000.0,no,no,Eagle Grove; Humboldt County; Iowa,,320x240; 273x204; 273x205,source_hosted_on_explicit_user_action,not_cleared_for_redistribution,medium,6019,source_image_acquired,,,,2026-07-22
cc_27e66142db39,iccra_0ab7e14deb038cbf,2006,Herington,Kansas,United States,https://iccra.org/bystate/Kansas/ICCRA_KS.htm; https://www.cropcirclearchives.co.uk/archives/inter2006/northamerica/northamerica2006.html,https://www.cropcirclearchives.co.uk/archives/inter2006/northamerica/Kansas%2C-6_06-2-circles.jpg; https://www.cropcirclearchives.co.uk/archives/inter2006/northamerica/Kansas-2006%2C-plant-heights2.jpg,2,locality_reference,38.67112,-96.94251,5000.0,no,no,Herington; Morris County (June 2; Kansas; two circles at field edge; oil rig behind circles,field edge; road grid,500x375; 500x215,link_only_rights_gated,not_cleared_for_redistribution,unknown,6016,source_image_acquired,,,,2026-07-22
cc_a20bb389770e,iccra_163dce3c08512525,2004-07-19,Tilden / Chippewa Falls,Wisconsin,United States,"https://iccra.org/bystate/Wisconsin/ICCRA%20-%20WI%20-%20Tilden-Chippewa%20Falls,%20Chippewa%20County%20(July%2019,%202004).html; https://www.cropcirclearchives.co.uk/archives/inter2004/northamerica/northamerica2004.html",https://www.cropcirclearchives.co.uk/archives/inter2004/northamerica/tildennews1.jpg; https://iccra.org/bystate/Wisconsin/images/tilden2004.jpg,2,locality_reference,44.54969,-91.39266,5000.0,no,no,Tilden / Chippewa Falls; Chippewa County; Wisconsin; Swoboda field; Tilden,roadside field boundaries,250x163; 274x246,source_hosted_on_explicit_user_action,not_cleared_for_redistribution,unknown,6011,source_image_acquired,,,,2026-07-22
cc_b1906f05d532,iccra_2fe58cae09f0241c,2004-05-25,Peach Orchard,Arkansas,United States,"https://iccra.org/bystate/Arkansas/ICCRA%20-%20AR%20-%20Peach%20Orchard,%20Clay%20County%20(May%2026,%202004).html; https://www.cropcirclearchives.co.uk/archives/inter2004/northamerica/northamerica2004.html",https://www.cropcirclearchives.co.uk/archives/inter2004/northamerica/Arkansas2004a.jpg; https://iccra.org/bystate/Arkansas/images/peachorchard2004.jpg,2,unresolved,,,,no,no,Peach Orchard; Clay County; Arkansas,,600x513; 274x234,source_hosted_on_explicit_user_action,not_cleared_for_redistribution,unknown,6006,source_image_acquired,,,,2026-07-22
cc_a414d0cd9fcf,iccra_f9295148ecd9a713,2006-09-10,Beloit,Kansas,United States,https://iccra.org/bystate/Kansas/ICCRA_KS.htm; https://www.cropcirclearchives.co.uk/archives/inter2006/northamerica/northamerica2006.html,https://www.cropcirclearchives.co.uk/archives/inter2006/northamerica/crop-circle-2.jpg,1,locality_reference,39.45612,-98.10616,5000.0,no,no,Beloit; Mitchell County; Kansas,,500x375,link_only_rights_gated,not_cleared_for_redistribution,unknown,6003,source_image_acquired,,,,2026-07-22
cc_289dd87e4b7c,iccra_d7d762dedb981318,2005-08-21,Coles County,Illinois,United States,"https://iccra.org/bystate/Illinois/ICCRA%20-%20IL%20-%20Coles%20County%20(August%2021,%202005).html; https://www.cropcirclearchives.co.uk/archives/inter2005/northamerica/northamerica2005.html","https://www.cropcirclearchives.co.uk/archives/inter2005/northamerica/Coles%20Cty,%20IL%20aerial%20(8_21_05)1.jpg; https://www.cropcirclearchives.co.uk/archives/inter2005/northamerica/Coles1.jpg; https://www.cropcirclearchives.co.uk/archives/inter2005/northamerica/Coles2.jpg; https://www.cropcirclearchives.co.uk/archives/inter2005/northamerica/Node%20Damage%2026.jpg; https://www.cropcirclearchives.co.uk/archives/inter2005/northamerica/Node%20Damage1%20copy5.jpg; https://www.cropcirclearchives.co.uk/archives/inter2005/northamerica/rog8edit_sm%20copy4.jpg; https://iccra.org/bystate/Illinois/images/coles2005a.jpg; https://iccra.org/bystate/Illinois/images/coles2005b.jpg; https://iccra.org/bystate/Illinois/images/coles2005c.jpg; https://iccra.org/bystate/Illinois/images/coles2005d.jpg",10,locality_reference,39.52031,-88.47116,30000.0,no,no,Coles County; Coles County (*exact location withheld by ICCRA); Illinois,,320x212; 500x375; 614x461; 630x425; 636x430; 630x473; 274x185,source_hosted_on_explicit_user_action,not_cleared_for_redistribution,high,5550,blocked_source,Exact Coles County location was deliberately withheld by the source.,,,2026-07-22
cc_eb8ed861eac4,iccra_ed7ced5b1427f371,2005-08-18,Northern Colorado,Colorado,United States,"https://iccra.org/bystate/Colorado/ICCRA%20-%20CO%20-%20%5BNorthern%5D%20(August%2018,%202005).html; https://www.cropcirclearchives.co.uk/archives/inter2005/northamerica/northamerica2005.html",https://www.cropcirclearchives.co.uk/archives/inter2005/northamerica/Colorado1.jpg; https://iccra.org/bystate/Colorado/images/northern2005.jpg,2,unresolved,,,,no,no,Northern Colorado; Colorado,,500x375; 630x473,source_hosted_on_explicit_user_action,not_cleared_for_redistribution,medium,5516,blocked_source,The source says the aerial photographer could not provide the actual Northern Colorado location.,,,2026-07-22
cc_7e1b225d2395,iccra_65807745bc77ebd5,2006-07-29,Belleville,Illinois,United States,https://iccra.org/bystate/Illinois/ICCRA_IL.htm; https://www.cropcirclearchives.co.uk/archives/inter2006/northamerica/northamerica2006.html,https://www.cropcirclearchives.co.uk/archives/inter2006/northamerica/Belleville--IL-aerial-enhan.jpg,1,locality_reference,38.52005,-89.98399,5000.0,no,no,Belleville; St. Clair County; Illinois,,500x334,link_only_rights_gated,not_cleared_for_redistribution,unknown,5503,blocked_source,The location witness supplied no usable contact or field location.,,,2026-07-22
